date,date,open,high,low,close,volume,SMA_50,SMA_200,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,VOLUME_SMA_20
2014-06-06,2014-06-06,325.0,330.88,324.93,329.67,5244000.0,331.07651999999786,330.1086049999953,320.7207142427338,328.61959999999533,336.5184857572569,4.8073126236302794,0.5664903906882713,49.15032369298344,-0.7866547273793003,0.8707546029226563,-1.6574093303019566,3490300.0
2014-06-05,2014-06-05,308.1,327.94,306.9,323.57,7796700.0,330.8753199999979,329.85090499999535,320.86588205578767,327.9234999999953,334.9811179442029,4.304429505178926,0.19157440694502856,44.118967645556104,-1.4727853376057283,0.14769919415698274,-1.620484531762711,3782920.0
2014-06-04,2014-06-04,306.85,309.5,303.84,306.78,2107100.0,330.3467199999979,329.4923549999953,315.3253570199602,326.61999999999523,337.91464298003024,6.916075549589843,-0.37829248056204445,33.84825646623182,-4.132922428925383,-2.0099503177301377,-2.1229721111952453,3754210.0
2014-06-03,2014-06-03,305.75,307.92,305.07,307.19,2379200.0,329.96491999999785,329.1621049999953,311.5735951007359,325.35999999999524,339.1464048992546,8.474554277882696,-0.15898253144194865,34.25077295032977,-5.876495676748846,-3.0028188524428803,-2.8736768243059654,3714490.0
2014-06-02,2014-06-02,312.59,312.6,307.0,308.84,2203400.0,329.7553199999979,328.83062999999527,309.0053997979575,324.5629999999952,340.1206002020329,9.586798373220558,-0.005315723370236892,35.94009873617886,-6.773941494871508,-3.120211736452434,-3.653729758419074,3691095.0
2014-05-30,2014-05-30,314.43,314.65,307.57,312.55,4260200.0,329.6397199999979,328.5337799999953,307.546868442611,323.96199999999527,340.3771315573795,10.133985811536228,0.1523938915719005,39.692170259101644,-6.784480123950743,-2.5046002924253354,-4.279879831525408,3783295.0
2014-05-29,2014-05-29,310.42,314.87,310.2,313.78,2365500.0,329.5793199999979,328.23592999999534,306.39076758438864,323.36649999999526,340.34223241560187,10.499376042729759,0.21764104884270125,40.92750886660451,-6.493356323825935,-1.7707811938404223,-4.722575129985513,3766595.0
2014-05-28,2014-05-28,309.5,313.82,307.42,310.16,2726000.0,329.5535199999979,327.93382999999534,304.70493963217353,322.5024999999953,340.300060367817,11.037161180345583,0.15325303735699983,38.43235434128956,-6.631685832347273,-1.5272885618894083,-5.104397270457865,3786505.0
2014-05-27,2014-05-27,314.41,314.6296,307.38,310.82,4862100.0,329.4921199999979,327.61672999999536,303.34982178559767,321.83549999999525,340.32117821439283,11.487656404839028,0.2020531280422314,39.16061524777045,-6.508854457921018,-1.1235657499705223,-5.385288707950496,3898280.0
2014-05-23,2014-05-23,305.46,312.35,304.9,312.24,3052900.0,329.4905199999979,327.34607999999537,302.3226830727258,321.08549999999525,339.8483169272647,11.687115691782862,0.2642811302193278,40.783567644943226,-6.104047335439361,-0.5750069019910926,-5.529040433448269,3920685.0
2014-05-22,2014-05-22,305.05,308.54,303.01,304.91,2576800.0,329.31571999999795,327.02307999999533,300.1532360779577,320.12099999999526,340.08876392203285,12.475135290741868,0.11911108175694402,35.51668432750868,-6.657031242059645,-0.9023926468891013,-5.754638595170544,3746825.0
2014-05-21,2014-05-21,302.21,305.96,301.5201,305.01,3408800.0,329.27471999999796,326.6553299999954,298.28312178360443,319.0214999999953,339.75987821638614,13.001241744767148,0.1621842881397274,35.63880053859142,-6.900413171143498,-0.9166196607783634,-5.9837935103651345,3651235.0
2014-05-20,2014-05-20,297.1,304.46,296.75,301.19,4095700.0,329.03871999999797,326.2608299999954,296.4938341954464,317.36199999999525,338.2301658045441,13.151017326932108,0.11251985077504768,33.06297780213035,-7.434715279159491,-1.1607374150354852,-6.273977864124006,3535945.0
2014-05-19,2014-05-19,295.76,299.0,293.81,296.755,2284200.0,328.52361999999795,325.8054549999954,293.59299718410995,315.91874999999527,338.2445028158806,14.133857402186898,0.0708151443305465,30.322809283843178,-8.244682117571585,-1.5765634027580635,-6.668118714813522,3504945.0
2014-05-16,2014-05-16,292.8,298.88,291.55,297.7,3636800.0,328.077619999998,325.38035499999535,291.433885417422,314.4227499999953,337.4116145825686,14.622901544225812,0.13628586483840557,31.623179685638327,-8.526735798922118,-1.4868936672868767,-7.0398421316352415,3566980.0
2014-05-15,2014-05-15,298.02,299.2,290.38,295.19,4295100.0,327.573219999998,324.93325499999537,289.10456478787336,312.8687499999952,336.63293521211705,15.191152975247423,0.12803795202333568,30.020590280569476,-8.883506365555377,-1.4749313871361078,-7.408574978419269,3643495.0
2014-05-14,2014-05-14,302.5,304.64,296.66,297.62,3323300.0,327.045419999998,324.4930799999954,287.5958491148575,311.4542499999952,335.31265088513294,15.320645574840015,0.21007591693596922,33.53249975594191,-8.63721269821417,-0.9829101758359213,-7.6543025223782495,3596510.0
2014-05-13,2014-05-13,302.6,305.6,300.75,304.64,3509900.0,325.96601999999797,324.1154799999954,288.56275710216227,309.92624999999526,331.28974289782826,13.786178420081116,0.3762784244768446,42.508667043489915,-7.366758333463508,0.23003535113179296,-7.596793684595301,3550165.0
2014-05-12,2014-05-12,294.3,303.34,294.16,302.86,3729600.0,324.860419999998,323.70577999999534,289.5662348392513,308.44874999999524,327.3312651607392,12.24353488917963,0.35201256420505783,40.99684859852674,-6.553371240539548,0.834737955244603,-7.388109195784151,3553475.0
2014-05-09,2014-05-09,290.57,293.68,284.38,292.24,4063000.0,323.48841999999803,323.24012999999536,288.6837669760123,306.6857499999952,324.6877330239781,11.739693170604241,0.09877336900190298,33.371108727557406,-7.240403169976389,0.11816482064620892,-7.358567990622598,3596015.0
2014-05-08,2014-05-08,290.82,295.8784,287.23,288.32,3848200.0,322.059619999998,322.78877999999537,288.2237944495441,304.6182499999952,321.01270555044636,10.763935220855217,0.0029340879957819917,31.073540162138496,-8.094660025740268,-0.5888736280941362,-7.505786397646132,3526225.0
2014-05-07,2014-05-07,295.56,296.4,286.68,292.71,7015200.0,320.740619999998,322.35162999999534,288.38571989193474,303.0752499999952,317.7647801080557,9.693652060378206,0.147189191085575,36.35804717601175,-7.958686892932121,-0.36232039622879153,-7.59636649670333,3487150.0
2014-05-06,2014-05-06,309.53,309.81,297.04,297.38,4682300.0,319.63913999999795,321.92022999999534,287.81874146026405,302.60524999999524,317.3917585397264,9.772803703657765,0.3233102160001108,41.49655464752263,-7.0885303971499525,0.40626887964270164,-7.494799276792654,3615910.0
2014-05-05,2014-05-05,306.37,310.23,305.0,310.05,2519900.0,318.722139999998,321.5755049999953,287.7335934006774,302.74824999999527,317.7629065993131,9.91890562493298,0.7431540792060632,52.66349304044077,-4.666328220391847,2.262776845120646,-6.929105065512493,3622945.0
2014-05-02,2014-05-02,310.42,313.29,304.31,308.01,3995100.0,317.79353999999796,321.2487049999953,287.75521687474486,302.7067499999953,317.6582831252457,9.878559447551568,0.6773480336624639,50.97632087892448,-3.1272695455044186,3.0414684160064596,-6.168737961510878,3712530.0
2014-05-01,2014-05-01,304.13,310.48,304.0,307.89,4328600.0,316.84493999999796,320.9110049999953,288.0056302605336,302.4737499999953,316.94186973945693,9.566529154653507,0.6871787798808418,50.87307481852894,-1.9916266532506484,3.3416890466081837,-5.333315699858832,3715950.0
